R6|C2=|C3=|C4=|C5=|C7=|C9=|C21=Valuta|C22=IDR|C23=Kurs Lama|C24=Kurs Baru|C25=Saldo IDR|C26=Selisih
R4660|C2=|C3=03.2511070|C4=|C5=22-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4661|C2=|C3=03.2511080|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4662|C2=|C3=03.2511081|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4663|C2=|C3=03.2511089|C4=|C5=26-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4664|C2=|C3=03.2511090|C4=|C5=26-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4665|C2=|C3=03.2511111|C4=|C5=29-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4666|C2=|C3=03.2511110|C4=|C5=29-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4667|C2=|C3=03.2511109|C4=|C5=29-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4668|C2=|C3=03.2511108|C4=|C5=29-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4669|C2=|C3=03.2512004|C4=|C5=02-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4670|C2=|C3=03.2512005|C4=|C5=02-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4671|C2=|C3=03.2512010|C4=|C5=04-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4672|C2=|C3=03.2512011|C4=|C5=04-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4673|C2=|C3=03.2512015|C4=|C5=05-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=64.380.000,00|C23=1,00|C24=1,00|C25=64.380.000,00|C26=0,00
R4674|C2=|C3=03.2512014|C4=|C5=05-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=51.060.000,00|C23=1,00|C24=1,00|C25=51.060.000,00|C26=0,00
R4675|C2=|C3=03.2512023|C4=|C5=10-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4676|C2=|C3=03.2512022|C4=|C5=10-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4677|C2=|C3=03.2512020|C4=|C5=08-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R4714|C2=|C3=02.2511017|C4=|C5=13-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=4.704.180,00|C23=1,00|C24=1,00|C25=4.704.180,00|C26=0,00
R4715|C2=|C3=02.2512012|C4=|C5=09-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=4.704.180,00|C23=1,00|C24=1,00|C25=4.704.180,00|C26=0,00
R5075|C2=|C3=03.2512002|C4=|C5=01-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=77.700.000,00|C23=1,00|C24=1,00|C25=77.700.000,00|C26=0,00
R5504|C2=|C3=03.2510007|C4=|C5=03-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.000.000,00|C23=1,00|C24=1,00|C25=350.000.000,00|C26=0,00
R5505|C2=|C3=03.2510044|C4=|C5=27-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.000.000,00|C23=1,00|C24=1,00|C25=350.000.000,00|C26=0,00
R5506|C2=|C3=03.2511042|C4=|C5=17-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.000.000,00|C23=1,00|C24=1,00|C25=350.000.000,00|C26=0,00
R5507|C2=|C3=03.2511091|C4=|C5=11-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.000.000,00|C23=1,00|C24=1,00|C25=350.000.000,00|C26=0,00
R5508|C2=|C3=03.2511092|C4=|C5=11-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.000.000,00|C23=1,00|C24=1,00|C25=350.000.000,00|C26=0,00
R5509|C2=|C3=03.2511093|C4=|C5=14-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.000.000,00|C23=1,00|C24=1,00|C25=350.000.000,00|C26=0,00
R5510|C2=|C3=03.2511094|C4=|C5=14-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=350.000.000,00|C23=1,00|C24=1,00|C25=350.000.000,00|C26=0,00
R5550|C2=|C3=01.2512023|C4=|C5=15-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=693.750,00|C23=1,00|C24=1,00|C25=693.750,00|C26=0,00
R5810|C2=|C3=01.2512026|C4=|C5=15-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=1.082.250,00|C23=1,00|C24=1,00|C25=1.082.250,00|C26=0,00
R5969|C2=|C3=03.2512050|C4=|C5=16-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=103.000.000,00|C23=1,00|C24=1,00|C25=103.000.000,00|C26=0,00
R7074|C2=|C3=01.2506029|C4=|C5=16-06-2025|C7=IDR|C9=1,00|C21=0,00|C22=432.900,00|C23=1,00|C24=1,00|C25=432.900,00|C26=0,00
R7083|C2=|C3=01.2511002|C4=|C5=03-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.136.750,00|C23=1,00|C24=1,00|C25=2.136.750,00|C26=0,00
R7086|C2=|C3=01.2512034|C4=|C5=23-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.321.010,00|C23=1,00|C24=1,00|C25=2.321.010,00|C26=0,00
R7087|C2=|C3=01.2512044|C4=|C5=30-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.321.010,00|C23=1,00|C24=1,00|C25=2.321.010,00|C26=0,00
R7377|C2=|C3=02.2502021|C4=|C5=27-02-2025|C7=IDR|C9=1,00|C21=0,00|C22=405.900,00|C23=1,00|C24=1,00|C25=405.900,00|C26=0,00
R7530|C2=|C3=01.2510040|C4=|C5=16-10-2025|C7=IDR|C9=1,00|C21=0,00|C22=890.775,00|C23=1,00|C24=1,00|C25=890.775,00|C26=0,00
R7981|C2=|C3=03.2512018|C4=|C5=08-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=74.425.500,00|C23=1,00|C24=1,00|C25=74.425.500,00|C26=0,00
R7982|C2=|C3=03.2512019|C4=|C5=08-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=74.425.500,00|C23=1,00|C24=1,00|C25=74.425.500,00|C26=0,00
R8450|C2=|C3=03.2511073|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8451|C2=|C3=03.2511074|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8452|C2=|C3=03.2511075|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8453|C2=|C3=03.2511076|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
