=== GL 226-001: Entry BUKAN BTB invoice/pembayaran (TGL < 2026-01-01) ===
VOUCHER|TGL|KET|ORDER_REFF|K|D|NET
101PD131200037|12/31/2013 00:00:00|101PD131200037|101PD131200037|27500000.000000|0.000000|27500000.000000
101PD131200042|12/31/2013 00:00:00|101PD131200042|101PD131200042|2400000.000000|0.000000|2400000.000000
101PD131200050|12/31/2013 00:00:00|101PD131200050|101PD131200050|42000000.000000|0.000000|42000000.000000
1011312NK0052|12/31/2013 00:00:00|1011312NK0052|1011312NK0052|8487360.000000|0.000000|8487360.000000
101PD131200014|12/31/2013 00:00:00|101PD131200014|101PD131200014|2496000.000000|0.000000|2496000.000000
101PD131200018|12/31/2013 00:00:00|101PD131200018|101PD131200018|95000000.000000|0.000000|95000000.000000
101PD131200023|12/31/2013 00:00:00|101PD131200023|101PD131200023|95000000.000000|0.000000|95000000.000000
1011312NK0048|12/31/2013 00:00:00|1011312NK0048|1011312NK0048|5400000.000000|0.000000|5400000.000000
1011312NK0024|12/31/2013 00:00:00|1011312NK0024|1011312NK0024|65000000.000000|0.000000|65000000.000000
1011312NK0042|12/31/2013 00:00:00|1011312NK0042|1011312NK0042|39450000.000000|0.000000|39450000.000000
1011312NK0044|12/31/2013 00:00:00|1011312NK0044|1011312NK0044|15744000.000000|0.000000|15744000.000000
1011312NK0026|12/31/2013 00:00:00|1011312NK0026|1011312NK0026|95000000.000000|0.000000|95000000.000000
1011312NK0022|12/31/2013 00:00:00|1011312NK0022|1011312NK0022|95000000.000000|0.000000|95000000.000000
1011312NK0028|12/31/2013 00:00:00|1011312NK0028|1011312NK0028|2400.000000|0.000000|2400.000000
1011312NK0001|12/31/2013 00:00:00|1011312NK0001|1011312NK0001|12304324.000000|0.000000|12304324.000000
1011312NK0010|12/31/2013 00:00:00|1011312NK0010|1011312NK0010|2653500.000000|0.000000|2653500.000000
1011312NK0046|12/31/2013 00:00:00|1011312NK0046|1011312NK0046|13663755.000000|0.000000|13663755.000000
1011312NK0005|12/31/2013 00:00:00|1011312NK0005|1011312NK0005|19800000.000000|0.000000|19800000.000000
1011312NK0011|12/31/2013 00:00:00|1011312NK0011|1011312NK0011|740000.000000|0.000000|740000.000000
1011312NK0009|12/31/2013 00:00:00|1011312NK0009|1011312NK0009|19700000.000000|0.000000|19700000.000000
101PD131200051|12/31/2013 00:00:00|101PD131200051|101PD131200051|8487360.000000|0.000000|8487360.000000
1011312NK0015|12/31/2013 00:00:00|1011312NK0015|1011312NK0015|10746427.000000|0.000000|10746427.000000
1011312NK0019|12/31/2013 00:00:00|1011312NK0019|1011312NK0019|27500000.000000|0.000000|27500000.000000
101PD131200063|12/31/2013 00:00:00|101PD131200063|101PD131200063|957000000.000000|0.000000|957000000.000000
101PD131200058|12/31/2013 00:00:00|101PD131200058|101PD131200058|27500000.000000|0.000000|27500000.000000
101PD131200054|12/31/2013 00:00:00|101PD131200054|101PD131200054|6616260.000000|0.000000|6616260.000000
101PD131200049|12/31/2013 00:00:00|101PD131200049|101PD131200049|4063500.000000|0.000000|4063500.000000
101PD131200045|12/31/2013 00:00:00|101PD131200045|101PD131200045|13663755.000000|0.000000|13663755.000000
101PD131200041|12/31/2013 00:00:00|101PD131200041|101PD131200041|2203500.000000|0.000000|2203500.000000
101PD131200036|12/31/2013 00:00:00|101PD131200036|101PD131200036|95000000.000000|0.000000|95000000.000000
1011312NK0037|12/31/2013 00:00:00|1011312NK0037|1011312NK0037|17889003.000000|0.000000|17889003.000000
101PD131200040|12/31/2013 00:00:00|101PD131200040|101PD131200040|12304323.600000|0.000000|12304323.600000
101PD131200032|12/31/2013 00:00:00|101PD131200032|101PD131200032|19700000.000000|0.000000|19700000.000000
101PD131200027|12/31/2013 00:00:00|101PD131200027|101PD131200027|741600000.000000|0.000000|741600000.000000
101PD131200001|12/31/2013 00:00:00|101PD131200001|101PD131200001|1949205.000000|0.000000|1949205.000000
1011312NK0033|12/31/2013 00:00:00|1011312NK0033|1011312NK0033|2351.000000|0.000000|2351.000000
101PD131200055|12/31/2013 00:00:00|101PD131200055|101PD131200055|16149000.000000|0.000000|16149000.000000
101PD131200056|12/31/2013 00:00:00|101PD131200056|101PD131200056|21000000.000000|0.000000|21000000.000000
101PD131200061|12/31/2013 00:00:00|101PD131200061|101PD131200061|516282630.000000|0.000000|516282630.000000
1011312NK0002|12/31/2013 00:00:00|1011312NK0002|1011312NK0002|2203500.000000|0.000000|2203500.000000
101PD131200044|12/31/2013 00:00:00|101PD131200044|101PD131200044|119100000.000000|0.000000|119100000.000000
101PD131200039|12/31/2013 00:00:00|101PD131200039|101PD131200039|13455000.000000|0.000000|13455000.000000
